INLINE EscapeQuoteTable 0xFF,Text ID
0x00 None,0x0
PlayerMMonk,0x0
PlayerMShaman,0x0
PlayerMMage,0x0
PlayerFMonk,0x0
PlayerFShaman,0x0
PlayerFMage,0x0
PlayerMCavalier,Military3AcceptTactEscapeText
PlayerMKnight,Military3AcceptTactEscapeText
PlayerMSoldier,Military3AcceptTactEscapeText
PlayerMWyvernRider,Military3AcceptTactEscapeText
PlayerFCavalier,Military3AcceptTactEscapeText
PlayerFKnight,Military3AcceptTactEscapeText
PlayerFSoldier,Military3AcceptTactEscapeText
PlayerFWyvernRider,Military3AcceptTactEscapeText
PlayerMMercenary,Merc7MilitiaKillTactEscapeText
PlayerMFighter,Merc7MilitiaKillTactEscapeText
PlayerMBrigand,Merc7MilitiaKillTactEscapeText
PlayerMPirate,Merc7MilitiaKillTactEscapeText
PlayerMMyrmidon,Merc7MilitiaKillTactEscapeText
PlayerFMercenary,Merc7MilitiaKillTactEscapeText
PlayerFMyrmidon,Merc7MilitiaKillTactEscapeText
PlayerFPegasusKnight,Merc7MilitiaKillTactEscapeText
Xena,0x0
Vicar,0x0
Walter,0x0
Baret,0x0
Val,0x0
Helmer,0x0
Xavus,0x0
Dunlas,0x0
Johnathan,0x0
Elanil,0x0
Izuk,0x0
Maximus,0x0
Jurgen,0x0
Leon,0x0
Jasper,Military3AcceptJasperEscapeText
Derek,Military3AcceptDerekEscapeText
Lux,0x0
Yvette,0x0
Zalius,0x0
Leyos,0x0
Clara,0x0
Luke,Merc7MilitiaKillLukeEscapeText
Arc,Merc7MilitiaKillArcEscapeText
Efil,0x0
Uzkailis,0x0
Arya,Merc7MilitiaKillAryaEscapeText
Kendrick,Merc7MilitiaKillKendrickEscapeText
Connor,0x0
Adlez,0x0
Muriel,0x0
Christina,0x0
Forrest,0x0
Cougar,0x0
Shannon,0x0
PlayerMArcher,Military3AcceptTactEscapeText
PlayerFArcher,Military3AcceptTactEscapeText
Finoc,0x0
Xexim,Merc7MilitiaKillXeximEscapeText
Rex,0x0
Sekar,0x0
Zaheva,Military3AcceptZahevaEscapeText
Adeline,Military3AcceptAdelineEscapeText
Remus,Military3AcceptRemusEscapeText
Henning,0x0
Gerwick,0x0
Militiaman,0x0
Robert,0x0
RobertPirate,0x0
GhostBoss,0x0
TankGhost,0x0
FastGhost,0x0
MageGhost,0x0
StrongGhost,0x0
Aaron,0x0
Cesarian,0x0
Shizonian,0x0
Narrator,0x0
Arcanian,0x0
Guardian,0x0
William,0x0
Emperor,0x0
Grant,0x0
Pat,0x0
BossUzkalis,0x0
BossArc,0x0
Roger,0x0
Haedrican,0x0
Tyrone,0x0
Mayor,0x0
Bacrunian,0x0
Harken,0x0
Mason,0x0
Hunter,0x0
Daniel,0x0
Wanderer,0x0
Kilthel,0x0
Xylia,0x0
Servius,0x0
Arveldir,0x0
ValSummon,0x0
Weston,0x0
GerwickBandit,0x0
WestonBandit,0x0
KendrickFriend,0x0
Sylvaine,0x0
Sam,0x0
SamBandit,0x0
Richter,0x0
Defect,0x0
Shanley,0x0
Gerald,0x0
Sean,0x0
Looter,0x0
BossArya,0x0
BossAdlez,0x0
BossConnor,0x0
Halleck,0x0
